NN1 Output,NN1 Answer,NN2 Output,NN2 Answer,NN3 Output,NN3 Answer
0.166157532,0.2,-0.211972289,0.251213246,0.253228303,0.8
0.220510286,0.2,-0.231165537,0.251213246,0.391976433,0.8
0.275059126,0.2,-0.211097796,0.251213246,0.441840157,0.8
0.31327524,0.2,-0.18446552,0.251213246,0.479988534,0.8
0.34451234,0.2,-0.158599507,0.251213246,0.509237619,0.8
0.370289956,0.2,-0.135449859,0.251213246,0.533197645,0.8
0.391810825,0.2,-0.115213501,0.251213246,0.553167398,0.8
0.409815925,0.2,-0.097629078,0.251213246,0.569936492,0.8
0.42487478,0.2,-0.082349933,0.251213246,0.584048523,0.8
0.437447225,0.2,-0.069044988,0.251213246,0.595927823,0.8
0.447916077,0.2,-0.057422705,0.251213246,0.60592216,0.8
0.456603529,0.2,-0.047232703,0.251213246,0.614322586,0.8
0.46378197,0.2,-0.038261733,0.251213246,0.621374622,0.8
0.469682086,0.2,-0.030328672,0.251213246,0.62728601,0.8
0.474499374,0.2,-0.023279814,0.251213246,0.632232725,0.8
0.478399558,0.2,-0.016984758,0.251213246,0.63636389,0.8
0.481523132,0.2,-0.011332874,0.251213246,0.639805891,0.8
0.483989208,0.2,-0.006230299,0.251213246,0.642665844,0.8
0.485898771,0.2,-0.001597394,0.251213246,0.64503453,0.8
0.487337434,0.2,0.002633427,0.251213246,0.646988883,0.8
0.48837778,0.2,0.006519522,0.251213246,0.648594094,0.8
0.489081343,0.2,0.010109578,0.251213246,0.649905403,0.8
0.489500287,0.2,0.013444934,0.251213246,0.650969607,0.8
0.489678837,0.2,0.01656069,0.251213246,0.651826349,0.8
0.489654479,0.2,0.019486661,0.251213246,0.652509207,0.8
0.489458991,0.2,0.022248179,0.251213246,0.653046616,0.8
0.48911931,0.2,0.024866771,0.251213246,0.653462649,0.8
0.488658266,0.2,0.027360744,0.251213246,0.653777684,0.8
0.488095212,0.2,0.029745665,0.251213246,0.654008967,0.8
0.487446546,0.2,0.032034783,0.251213246,0.654171086,0.8
0.486726167,0.2,0.034239382,0.251213246,0.654276377,0.8
0.485945851,0.2,0.036369074,0.251213246,0.654335269,0.8
0.485115578,0.2,0.038432057,0.251213246,0.65435657,0.8
0.4842438,0.2,0.040435325,0.251213246,0.654347722,0.8
0.483337679,0.2,0.042384857,0.251213246,0.654314999,0.8
0.482403278,0.2,0.044285764,0.251213246,0.654263693,0.8
0.481445734,0.2,0.046142425,0.251213246,0.654198263,0.8
0.480469393,0.2,0.047958596,0.251213246,0.654122458,0.8
0.479477936,0.2,0.049737502,0.251213246,0.654039428,0.8
0.478474475,0.2,0.051481922,0.251213246,0.653951817,0.8
0.477461644,0.2,0.053194252,0.251213246,0.653861838,0.8
0.47644167,0.2,0.054876565,0.251213246,0.65377134,0.8
0.475416434,0.2,0.056530656,0.251213246,0.653681865,0.8
0.474387525,0.2,0.058158091,0.251213246,0.653594691,0.8
0.473356284,0.2,0.059760232,0.251213246,0.653510879,0.8
0.472323843,0.2,0.061338275,0.251213246,0.653431301,0.8
0.471291154,0.2,0.062893271,0.251213246,0.65335667,0.8
0.47025902,0.2,0.064426147,0.251213246,0.653287568,0.8
0.469228115,0.2,0.065937728,0.251213246,0.653224462,0.8
0.468199004,0.2,0.067428746,0.251213246,0.653167725,0.8
0.467172163,0.2,0.068899861,0.251213246,0.653117649,0.8
0.466147988,0.2,0.070351664,0.251213246,0.653074459,0.8
0.465126808,0.2,0.071784693,0.251213246,0.65303832,0.8
0.4641089,0.2,0.073199437,0.251213246,0.653009353,0.8
0.463094489,0.2,0.074596345,0.251213246,0.652987636,0.8
0.462083764,0.2,0.075975828,0.251213246,0.652973214,0.8
0.461076878,0.2,0.07733827,0.251213246,0.652966103,0.8
0.460073957,0.2,0.078684027,0.251213246,0.652966296,0.8
0.459075101,0.2,0.080013433,0.251213246,0.652973765,0.8
0.45808039,0.2,0.081326801,0.251213246,0.652988467,0.8
0.457089887,0.2,0.082624427,0.251213246,0.653010344,0.8
0.456103641,0.2,0.083906593,0.251213246,0.653039329,0.8
0.455121688,0.2,0.085173568,0.251213246,0.653075343,0.8
0.454144053,0.2,0.086425608,0.251213246,0.653118301,0.8
0.453170754,0.2,0.08766296,0.251213246,0.653168112,0.8
0.452201799,0.2,0.08888586,0.251213246,0.653224679,0.8
0.451237192,0.2,0.090094538,0.251213246,0.653287904,0.8
0.450276931,0.2,0.091289215,0.251213246,0.653357683,0.8
0.44932101,0.2,0.092470106,0.251213246,0.653433911,0.8
0.448369419,0.2,0.093637421,0.251213246,0.653516482,0.8
0.447422145,0.2,0.094791362,0.251213246,0.653605288,0.8
0.446479173,0.2,0.095932129,0.251213246,0.653700221,0.8
0.445540484,0.2,0.097059915,0.251213246,0.653801172,0.8
0.44460606,0.2,0.098174909,0.251213246,0.653908034,0.8
0.44367588,0.2,0.099277296,0.251213246,0.654020697,0.8
0.442749922,0.2,0.100367259,0.251213246,0.654139055,0.8
0.441828163,0.2,0.101444975,0.251213246,0.654263,0.8
0.440910579,0.2,0.102510618,0.251213246,0.654392427,0.8
0.439997147,0.2,0.103564361,0.251213246,0.65452723,0.8
0.439087842,0.2,0.10460637,0.251213246,0.654667305,0.8
0.438182639,0.2,0.105636812,0.251213246,0.65481255,0.8
0.437281513,0.2,0.106655849,0.251213246,0.654962863,0.8
0.436384438,0.2,0.10766364,0.251213246,0.655118143,0.8
0.435491389,0.2,0.108660342,0.251213246,0.655278291,0.8
0.434602341,0.2,0.109646111,0.251213246,0.65544321,0.8
0.433717268,0.2,0.110621097,0.251213246,0.655612803,0.8
0.432836145,0.2,0.111585451,0.251213246,0.655786975,0.8
0.431958946,0.2,0.11253932,0.251213246,0.655965631,0.8
0.431085646,0.2,0.113482848,0.251213246,0.656148681,0.8
0.43021622,0.2,0.114416179,0.251213246,0.656336032,0.8
0.429350644,0.2,0.115339452,0.251213246,0.656527595,0.8
0.428488892,0.2,0.116252806,0.251213246,0.656723282,0.8
0.427630939,0.2,0.117156378,0.251213246,0.656923005,0.8
0.426776762,0.2,0.118050301,0.251213246,0.65712668,0.8
0.425926336,0.2,0.118934707,0.251213246,0.657334221,0.8
0.425079637,0.2,0.119809727,0.251213246,0.657545547,0.8
0.424236642,0.2,0.120675488,0.251213246,0.657760575,0.8
0.423397326,0.2,0.121532118,0.251213246,0.657979225,0.8
0.422561667,0.2,0.12237974,0.251213246,0.658201417,0.8
0.42172964,0.2,0.123218476,0.251213246,0.658427075,0.8
0.420901224,0.2,0.124048448,0.251213246,0.658656121,0.8
0.420076396,0.2,0.124869775,0.251213246,0.65888848,0.8
0.419255132,0.2,0.125682572,0.251213246,0.659124079,0.8
0.418437411,0.2,0.126486957,0.251213246,0.659362843,0.8
0.417623211,0.2,0.127283042,0.251213246,0.659604702,0.8
0.416812509,0.2,0.12807094,0.251213246,0.659849585,0.8
0.416005284,0.2,0.128850761,0.251213246,0.660097421,0.8
0.415201515,0.2,0.129622613,0.251213246,0.660348144,0.8
0.41440118,0.2,0.130386604,0.251213246,0.660601686,0.8
0.413604258,0.2,0.131142839,0.251213246,0.66085798,0.8
0.412810729,0.2,0.131891423,0.251213246,0.661116962,0.8
0.412020571,0.2,0.132632457,0.251213246,0.661378568,0.8
0.411233765,0.2,0.133366043,0.251213246,0.661642734,0.8
0.41045029,0.2,0.13409228,0.251213246,0.661909399,0.8
0.409670126,0.2,0.134811266,0.251213246,0.662178503,0.8
0.408893253,0.2,0.135523097,0.251213246,0.662449984,0.8
0.408119652,0.2,0.136227869,0.251213246,0.662723785,0.8
0.407349303,0.2,0.136925676,0.251213246,0.662999848,0.8
0.406582187,0.2,0.13761661,0.251213246,0.663278114,0.8
0.405818285,0.2,0.138300762,0.251213246,0.663558529,0.8
0.405057577,0.2,0.138978221,0.251213246,0.663841038,0.8
0.404300046,0.2,0.139649077,0.251213246,0.664125586,0.8
0.403545672,0.2,0.140313415,0.251213246,0.66441212,0.8
0.402794438,0.2,0.140971322,0.251213246,0.664700587,0.8
0.402046324,0.2,0.141622883,0.251213246,0.664990937,0.8
0.401301314,0.2,0.142268181,0.251213246,0.665283118,0.8
0.400559388,0.2,0.142907297,0.251213246,0.66557708,0.8
0.39982053,0.2,0.143540313,0.251213246,0.665872775,0.8
0.399084722,0.2,0.144167309,0.251213246,0.666170155,0.8
0.398351947,0.2,0.144788362,0.251213246,0.666469172,0.8
0.397622187,0.2,0.145403552,0.251213246,0.66676978,0.8
0.396895425,0.2,0.146012953,0.251213246,0.667071932,0.8
0.396171644,0.2,0.14661664,0.251213246,0.667375585,0.8
0.395450828,0.2,0.147214689,0.251213246,0.667680693,0.8
0.394732961,0.2,0.147807172,0.251213246,0.667987213,0.8
0.394018025,0.2,0.148394161,0.251213246,0.668295102,0.8
0.393306004,0.2,0.148975726,0.251213246,0.668604319,0.8
0.392596882,0.2,0.149551939,0.251213246,0.668914822,0.8
0.391890644,0.2,0.150122867,0.251213246,0.66922657,0.8
0.391187274,0.2,0.150688578,0.251213246,0.669539524,0.8
0.390486755,0.2,0.15124914,0.251213246,0.669853644,0.8
0.389789072,0.2,0.151804617,0.251213246,0.670168892,0.8
0.389094209,0.2,0.152355076,0.251213246,0.670485229,0.8
0.388402153,0.2,0.15290058,0.251213246,0.670802619,0.8
0.387712886,0.2,0.153441192,0.251213246,0.671121024,0.8
0.387026395,0.2,0.153976975,0.251213246,0.67144041,0.8
0.386342664,0.2,0.154507989,0.251213246,0.67176074,0.8
0.385661679,0.2,0.155034295,0.251213246,0.672081979,0.8
0.384983425,0.2,0.155555953,0.251213246,0.672404094,0.8
0.384307887,0.2,0.15607302,0.251213246,0.672727051,0.8
0.383635051,0.2,0.156585556,0.251213246,0.673050816,0.8
0.382964903,0.2,0.157093617,0.251213246,0.673375358,0.8
0.382297429,0.2,0.157597258,0.251213246,0.673700645,0.8
0.381632614,0.2,0.158096536,0.251213246,0.674026644,0.8
0.380970445,0.2,0.158591505,0.251213246,0.674353326,0.8
0.380310908,0.2,0.159082218,0.251213246,0.674680661,0.8
0.379653989,0.2,0.159568729,0.251213246,0.675008617,0.8
0.378999675,0.2,0.16005109,0.251213246,0.675337167,0.8
0.378347953,0.2,0.160529352,0.251213246,0.675666282,0.8
0.377698808,0.2,0.161003566,0.251213246,0.675995933,0.8
0.377052228,0.2,0.161473782,0.251213246,0.676326093,0.8
0.3764082,0.2,0.16194005,0.251213246,0.676656734,0.8
0.37576671,0.2,0.162402417,0.251213246,0.67698783,0.8
0.375127746,0.2,0.162860932,0.251213246,0.677319355,0.8
0.374491295,0.2,0.163315642,0.251213246,0.677651283,0.8
0.373857345,0.2,0.163766594,0.251213246,0.677983588,0.8
0.373225882,0.2,0.164213832,0.251213246,0.678316245,0.8
0.372596894,0.2,0.164657404,0.251213246,0.678649231,0.8
0.371970369,0.2,0.165097352,0.251213246,0.678982522,0.8
0.371346294,0.2,0.165533721,0.251213246,0.679316093,0.8
0.370724658,0.2,0.165966555,0.251213246,0.679649921,0.8
0.370105448,0.2,0.166395895,0.251213246,0.679983985,0.8
0.369488653,0.2,0.166821785,0.251213246,0.680318261,0.8
0.368874259,0.2,0.167244264,0.251213246,0.680652728,0.8
0.368262256,0.2,0.167663376,0.251213246,0.680987363,0.8
0.367652632,0.2,0.168079158,0.251213246,0.681322148,0.8
0.367045375,0.2,0.168491652,0.251213246,0.681657059,0.8
0.366440474,0.2,0.168900897,0.251213246,0.681992077,0.8
0.365837917,0.2,0.169306931,0.251213246,0.682327183,0.8
0.365237693,0.2,0.169709792,0.251213246,0.682662356,0.8
0.36463979,0.2,0.170109517,0.251213246,0.682997577,0.8
0.364044198,0.2,0.170506144,0.251213246,0.683332828,0.8
0.363450905,0.2,0.17089971,0.251213246,0.683668089,0.8
0.3628599,0.2,0.171290249,0.251213246,0.684003343,0.8
0.362271173,0.2,0.171677798,0.251213246,0.684338572,0.8
0.361684712,0.2,0.172062391,0.251213246,0.684673758,0.8
0.361100506,0.2,0.172444063,0.251213246,0.685008885,0.8
0.360518546,0.2,0.172822848,0.251213246,0.685343934,0.8
0.35993882,0.2,0.17319878,0.251213246,0.68567889,0.8
0.359361318,0.2,0.17357189,0.251213246,0.686013737,0.8
0.358786029,0.2,0.173942213,0.251213246,0.686348458,0.8
0.358212943,0.2,0.17430978,0.251213246,0.686683038,0.8
0.35764205,0.2,0.174674622,0.251213246,0.687017462,0.8
0.357073339,0.2,0.175036771,0.251213246,0.687351714,0.8
0.3565068,0.2,0.175396257,0.251213246,0.687685781,0.8
0.355942424,0.2,0.175753112,0.251213246,0.688019646,0.8
